term,estimate,std.error,z_statistic,p_value,component,species
psi(elev_sd),4.699815026257844,NA,NA,NA,initial_occupancy,Upupa epops
psi(texture_shannon),-5.836797615785275,NA,NA,NA,initial_occupancy,Upupa epops
psi(npp_mean),0.5142757420892939,NA,NA,NA,initial_occupancy,Upupa epops
psi(landcover_built),16.618406910842975,NA,NA,NA,initial_occupancy,Upupa epops
col(Int),-4.151294366698331,NA,NA,NA,colonization,Upupa epops
col(block_index),0.773143821103867,NA,NA,NA,colonization,Upupa epops
col(built_rep),6.601235461212855,NA,NA,NA,colonization,Upupa epops
col(npp_rep),-11.810392302443981,NA,NA,NA,colonization,Upupa epops
ext(Int),-3.4335805616462114,NA,NA,NA,extinction,Upupa epops
ext(block_index),0.041760637478648194,NA,NA,NA,extinction,Upupa epops
ext(built_rep),0.15688300904066074,NA,NA,NA,extinction,Upupa epops
ext(bio4),-0.39116860041727236,NA,NA,NA,extinction,Upupa epops
p(Int),-2.3136060993806016,NA,NA,NA,other,Upupa epops
p(log_events),0.83073509298592,NA,NA,NA,other,Upupa epops
p(log_observers),0.14239626639099814,NA,NA,NA,other,Upupa epops
p(duration_min),-6.129368572715719e-8,NA,NA,NA,other,Upupa epops
psi(Int),0.15755156521372593,NA,NA,NA,initial_occupancy,Ardea cinerea
psi(bio4),0.05836866279320013,NA,NA,NA,initial_occupancy,Ardea cinerea
psi(elev_sd),0.8780684009669706,NA,NA,NA,initial_occupancy,Ardea cinerea
psi(texture_shannon),-0.48774729128247574,NA,NA,NA,initial_occupancy,Ardea cinerea
psi(npp_mean),1.33754619857861,NA,NA,NA,initial_occupancy,Ardea cinerea
psi(landcover_built),0.31560007567572484,NA,NA,NA,initial_occupancy,Ardea cinerea
col(Int),-2.3390892579745532,NA,NA,NA,colonization,Ardea cinerea
col(block_index),0.4847460852366741,NA,NA,NA,colonization,Ardea cinerea
col(built_rep),-0.13432201666254293,NA,NA,NA,colonization,Ardea cinerea
col(npp_rep),-0.28543821906902406,NA,NA,NA,colonization,Ardea cinerea
ext(Int),-1.79924633079363,NA,NA,NA,extinction,Ardea cinerea
ext(block_index),-0.68036342892907,NA,NA,NA,extinction,Ardea cinerea
ext(built_rep),-1.3202822534118974,NA,NA,NA,extinction,Ardea cinerea
ext(bio4),-0.2709490528893575,NA,NA,NA,extinction,Ardea cinerea
p(Int),-2.288549154248117,NA,NA,NA,other,Ardea cinerea
p(log_events),0.9844876647088359,NA,NA,NA,other,Ardea cinerea
p(log_observers),0.03478169630736003,NA,NA,NA,other,Ardea cinerea
p(duration_min),7.67214124973526e-8,NA,NA,NA,other,Ardea cinerea
psi(Int),1.6158348707645598,NA,NA,NA,initial_occupancy,Alcedo atthis
psi(bio4),0.06464393757402809,NA,NA,NA,initial_occupancy,Alcedo atthis
psi(elev_sd),-0.17399232053185115,NA,NA,NA,initial_occupancy,Alcedo atthis
psi(texture_shannon),-0.40423715077351496,NA,NA,NA,initial_occupancy,Alcedo atthis
psi(npp_mean),-0.4358404503663664,NA,NA,NA,initial_occupancy,Alcedo atthis
psi(landcover_built),-0.023603152176203054,NA,NA,NA,initial_occupancy,Alcedo atthis
col(Int),-3.3439177446799695,NA,NA,NA,colonization,Alcedo atthis
col(block_index),-6.861067713065865,NA,NA,NA,colonization,Alcedo atthis
col(built_rep),-3.124720659135246,NA,NA,NA,colonization,Alcedo atthis
col(npp_rep),0.17689068273053132,NA,NA,NA,colonization,Alcedo atthis
ext(Int),-4.160117609130793,NA,NA,NA,extinction,Alcedo atthis
ext(block_index),0.10274420503296659,NA,NA,NA,extinction,Alcedo atthis
ext(built_rep),0.40050720057577793,NA,NA,NA,extinction,Alcedo atthis
ext(bio4),-1.514537520374945,NA,NA,NA,extinction,Alcedo atthis
p(Int),-2.9140615904576217,NA,NA,NA,other,Alcedo atthis
p(log_events),1.254206579557034,NA,NA,NA,other,Alcedo atthis
p(log_observers),-0.10037121831588579,NA,NA,NA,other,Alcedo atthis
p(duration_min),1.9177484415761226e-7,NA,NA,NA,other,Alcedo atthis
psi(Int),-4.283558941874909,NA,NA,NA,initial_occupancy,Lanius schach
psi(bio4),-28.389510327443237,NA,NA,NA,initial_occupancy,Lanius schach
psi(elev_sd),-5.979068595961865,NA,NA,NA,initial_occupancy,Lanius schach
psi(texture_shannon),-11.19429120312448,NA,NA,NA,initial_occupancy,Lanius schach
psi(npp_mean),6.5954036513073575,NA,NA,NA,initial_occupancy,Lanius schach
psi(landcover_built),-14.104770842936276,NA,NA,NA,initial_occupancy,Lanius schach
col(Int),-4.593791216527508,NA,NA,NA,colonization,Lanius schach
col(block_index),0.5534396262269531,NA,NA,NA,colonization,Lanius schach
col(built_rep),-0.03514348108134185,NA,NA,NA,colonization,Lanius schach
col(npp_rep),-0.03047133430439587,NA,NA,NA,colonization,Lanius schach
ext(Int),-2.9015024381209424,NA,NA,NA,extinction,Lanius schach
ext(block_index),0.22233261926242232,NA,NA,NA,extinction,Lanius schach
ext(built_rep),27.08666779121348,NA,NA,NA,extinction,Lanius schach
ext(bio4),-29.296151790641463,NA,NA,NA,extinction,Lanius schach
p(Int),-1.7605980564852364,NA,NA,NA,other,Lanius schach
p(log_events),0.9614211088008559,NA,NA,NA,other,Lanius schach
p(log_observers),0.009329489071459168,NA,NA,NA,other,Lanius schach
p(duration_min),3.6744786032671675e-7,NA,NA,NA,other,Lanius schach
psi(Int),1.0093607298930105,NA,NA,NA,initial_occupancy,Anas platyrhynchos
psi(bio4),0.8881299524021659,NA,NA,NA,initial_occupancy,Anas platyrhynchos
psi(elev_sd),1.1114502319419113,NA,NA,NA,initial_occupancy,Anas platyrhynchos
psi(texture_shannon),-1.3836221015872472,NA,NA,NA,initial_occupancy,Anas platyrhynchos
psi(npp_mean),1.9482688349534263,NA,NA,NA,initial_occupancy,Anas platyrhynchos
psi(landcover_built),2.0185056796899303,NA,NA,NA,initial_occupancy,Anas platyrhynchos
col(Int),-2.7191606210810617,NA,NA,NA,colonization,Anas platyrhynchos
col(block_index),0.8176115692276175,NA,NA,NA,colonization,Anas platyrhynchos
col(built_rep),9.66166636777289,NA,NA,NA,colonization,Anas platyrhynchos
col(npp_rep),-8.478567737284004,NA,NA,NA,colonization,Anas platyrhynchos
ext(Int),-2.4451702520192153,NA,NA,NA,extinction,Anas platyrhynchos
ext(block_index),-0.33971663521996576,NA,NA,NA,extinction,Anas platyrhynchos
ext(built_rep),-0.9138475785869364,NA,NA,NA,extinction,Anas platyrhynchos
ext(bio4),-0.5015741492478708,NA,NA,NA,extinction,Anas platyrhynchos
p(Int),-2.507372384183087,NA,NA,NA,other,Anas platyrhynchos
