species,n_grid_year_detections,n_blocks_detected,n_grids_detected,first_year,last_year,candidate_rank
Grus grus,613,5,239,2001,2024,297
Zoothera aurea,610,5,214,2000,2024,298
Phoenicurus leucocephalus,607,4,256,2009,2024,299
Pica bottanensis,605,5,177,2000,2024,300
Accipiter gularis,603,5,232,2000,2024,301
Centropus bengalensis,596,5,220,2001,2024,302
Sternula albifrons,589,5,230,2000,2024,303
Coturnix japonica,586,5,211,2000,2024,304
Blythipicus pyrrhotis,585,5,155,2002,2024,305
Aethopyga gouldiae,584,5,149,2000,2024,306
Grus nigricollis,584,5,163,2000,2024,307
Anthus cervinus,583,5,216,2000,2024,308
Phoenicurus schisticeps,582,5,132,2000,2024,309
Pyrrhula erythaca,572,5,122,2000,2024,310
Periparus rubidiventris,571,5,114,2000,2024,311
Alaudala cheleensis,570,5,225,2000,2024,312
Lanius tigrinus,569,5,224,2000,2024,313
Poecile palustris,564,5,217,2000,2024,314
Prunella rubeculoides,564,5,151,2000,2024,315
Onychostruthus taczanowskii,558,5,157,2000,2024,316
Oenanthe deserti,556,5,244,2000,2024,317
Phylloscopus yunnanensis,550,5,153,2000,2024,318
Phylloscopus affinis,549,5,157,2000,2024,319
Phylloscopus magnirostris,545,5,145,2000,2024,320
Corvus dauuricus,540,4,290,2005,2024,321
Calidris ruficollis,529,5,181,2000,2024,322
Erpornis zantholeuca,528,5,133,2000,2024,323
Paradoxornis gularis,528,5,145,2002,2024,324
Turdus obscurus,528,5,190,2000,2024,325
Ciconia boyciana,527,5,191,2000,2024,326
Monticola rufiventris,526,5,157,2000,2024,327
Muscicapa griseisticta,522,5,183,2001,2024,328
Turdus cardis,521,5,197,2003,2024,329
Turdus kessleri,521,5,111,2000,2024,330
Turdus pallidus,519,5,153,2001,2024,331
Cuculus saturatus,518,5,210,2001,2024,332
Oenanthe pleschanka,517,5,208,2000,2024,333
Otocichla mupinensis,515,5,155,2000,2024,334
Aquila nipalensis,514,5,234,2001,2024,335
Anser albifrons,510,5,202,2000,2024,336
Calidris subminuta,506,5,210,2000,2024,337
Lophura nycthemera,505,5,130,2000,2024,338
Ixobrychus cinnamomeus,502,5,200,2000,2024,339
Phylloscopus schwarzi,499,5,223,2000,2024,340
Coccothraustes coccothraustes,498,5,221,2002,2024,341
Carpodacus dubius,495,5,113,2000,2024,342
Cinclus cinclus,493,5,148,2000,2024,343
Pericrocotus divaricatus,493,5,210,2000,2024,344
Carpodacus pulcherrimus,492,5,124,2000,2024,345
Glareola maldivarum,490,5,185,2000,2024,346
Mycerobas carnipes,489,5,129,2000,2024,347
Luscinia calliope,488,5,172,2000,2023,348
Aviceda leuphotes,486,5,174,2002,2024,349
Lanius bucephalus,484,5,210,2000,2024,350
Phylloscopus plumbeitarsus,483,5,201,2000,2024,351
Phylloscopus subaffinis,477,5,167,2000,2024,352
Anser serrirostris,474,5,191,2001,2024,353
Pluvialis squatarola,474,5,151,2000,2024,354
Lophophanes dichrous,472,5,95,2000,2024,355
Otus lettia,472,5,176,2000,2024,356
Tichodroma muraria,472,5,176,2000,2024,357
Yuhina diademata,468,5,99,2000,2023,358
Yuhina torqueola,468,5,129,2000,2023,359
Phylloscopus forresti,467,5,106,2000,2024,360
Rhopophilus pekinensis,463,5,165,2001,2024,361
Staphida torqueola,463,5,174,2002,2024,362
Ficedula erithacus,460,5,127,2000,2024,363
Lanius isabellinus,459,5,207,2000,2024,364
Leucosticte nemoricola,459,5,153,2000,2024,365
Garrulax davidi,456,5,107,2000,2023,366
Emberiza leucocephalos,452,5,179,2000,2024,367
Gelochelidon nilotica,452,5,182,2000,2024,368
Horornis canturians,452,4,233,2007,2024,369
Hydrophasianus chirurgus,450,5,175,2002,2024,370
Calidris ferruginea,447,5,192,2000,2024,371
Cyanoptila cyanomelana,447,5,160,2000,2024,372
Numenius phaeopus,447,5,144,2000,2024,373
Ficedula mugimaki,446,5,153,2000,2024,374
Oenanthe oenanthe,446,5,173,2003,2024,375
Larvivora sibilans,445,5,147,2000,2024,376
Pomatorhinus gravivox,441,5,113,2000,2023,377
Lalage melaschistos,439,4,197,2005,2024,378
Sitta villosa,439,5,132,2000,2024,379
Hirundapus caudacutus,438,5,171,2000,2024,380
Emberiza rutila,435,5,177,2000,2024,381
Sibirionetta formosa,435,5,192,2003,2024,382
Leptopoecile sophiae,434,5,118,2000,2024,383
Rhipidura albicollis,431,5,85,2000,2024,384
Aegypius monachus,429,5,192,2000,2024,385
Phylloscopus ricketti,428,5,164,2000,2024,386
Tarsiger rufilatus,427,5,103,2000,2024,387
Larus crassirostris,425,5,106,2000,2024,388
Pica pica,424,5,185,2000,2024,389
Pyrrhocorax graculus,424,5,159,2000,2024,390
Turdus atrogularis,424,5,215,2000,2024,391
Aythya baeri,421,5,173,2002,2024,392
Buteo refectus,421,5,132,2001,2024,393
Zapornia akool,421,5,155,2004,2024,394
Apus salimalii,419,5,107,2000,2024,395
Yuhina nigrimenta,419,5,116,2000,2024,396
Aerodramus brevirostris,416,5,146,2000,2024,397
Minla cyanouroptera,416,5,98,2000,2023,398
Terpsiphone incei,416,5,189,2003,2024,399
Delichon urbicum,415,5,186,2002,2024,400
Seicercus castaniceps,415,5,119,2000,2023,401
Dendrocopos hyperythrus,410,5,149,2000,2024,402
Petronia petronia,410,5,129,2000,2024,403
Coracina melaschistos,408,5,138,2000,2023,404
Sitta nagaensis,408,5,87,2000,2024,405
Charadrius leschenaultii,407,5,156,2000,2024,406
Carpodacus sibiricus,406,5,180,2002,2024,407
Loxia curvirostra,405,5,176,2000,2024,408
Rallus indicus,405,5,172,2001,2024,409
Zosterops palpebrosus,404,5,100,2000,2024,410
Carpodacus rubicilloides,403,5,118,2001,2024,411
Falco cherrug,402,4,229,2003,2024,412
Carpodacus waltoni,399,5,115,2000,2024,413
Larus canus,397,5,162,2000,2024,414
Clamator coromandus,395,5,164,2000,2024,415
Hieraaetus pennatus,394,5,170,2001,2024,416
Chloropsis hardwickii,393,5,101,2002,2024,417
Bombycilla garrulus,391,5,204,2000,2024,418
Bubo bubo,390,5,196,2000,2024,419
Phylloscopus tenellipes,389,5,159,2000,2024,420
Heterophasia desgodinsi,387,5,100,2000,2024,421
Phylloscopus reguloides,387,5,106,2000,2024,422
Cacomantis merulinus,386,5,130,2001,2024,423
Calliope calliope,386,4,197,2007,2024,424
Ficedula strophiata,386,5,107,2000,2024,425
Emberiza schoeniclus,385,5,167,2001,2024,426
Scolopax rusticola,384,5,177,2001,2024,427
Horornis diphone,383,5,134,2000,2024,428
Garrulax pectoralis,382,5,96,2000,2023,429
Hydroprogne caspia,382,5,147,2000,2024,430
Bombycilla japonica,381,5,162,2000,2024,431
Calidris acuminata,381,5,141,2000,2024,432
Acridotheres tristis,380,5,148,2002,2024,433
Horornis acanthizoides,380,5,116,2000,2024,434
Rostratula benghalensis,380,4,164,2005,2024,435
Carpodacus vinaceus,377,5,97,2000,2024,436
Parus major,373,5,136,2001,2024,437
Leucosticte brandti,371,5,130,2000,2024,438
Dendrocopos leucotos,366,5,146,2001,2024,439
Eophona personata,366,5,153,2000,2024,440
Myiomela leucura,365,5,113,2000,2024,441
Pteruthius aeralatus,363,5,88,2001,2024,442
Urosphena squameiceps,360,5,134,2000,2024,443
Psilopogon faber,359,5,113,2000,2024,444
Xenus cinereus,359,5,131,2000,2024,445
Aegithalos caudatus,356,5,168,2004,2024,446
Pterorhinus davidi,356,4,146,2009,2024,447
Amaurornis akool,354,5,105,2001,2023,448
Montifringilla adamsi,354,5,111,2001,2024,449
Haliaeetus albicilla,353,5,158,2002,2024,450
Panurus biarmicus,353,5,134,2001,2024,451
Buteo rufinus,352,5,168,2000,2024,452
Babax lanceolatus,347,5,100,2000,2023,453
Prunella collaris,347,5,134,2000,2024,454
Mergus squamatus,345,5,136,2003,2024,455
Prinia superciliaris,345,5,103,2000,2024,456
Perdix hodgsoniae,344,5,108,2000,2024,457
Pericrocotus brevirostris,340,5,93,2000,2024,458
Prunella montanella,340,5,146,2001,2024,459
Certhia familiaris,339,5,142,2002,2024,460
Parus spilonotus,337,5,84,2000,2023,461
Emberiza aureola,336,4,189,2006,2024,462
