grid_cell,metric,trend_mean,trend_l95,trend_u95,p_pos,sig95
1211,corrected_richness,3.5397551167314143,3.1586639292590064,3.9984437531508865,1,TRUE
1212,corrected_richness,3.5783541252314466,3.1767843089933607,3.996846764619062,1,TRUE
1213,corrected_richness,3.088296366106318,2.673274116834113,3.5738073354496565,1,TRUE
1214,corrected_richness,2.814405613948491,2.445680879741339,3.1875350369087645,1,TRUE
1215,corrected_richness,2.6564366073395145,2.225227387594296,3.121065173008131,1,TRUE
1216,corrected_richness,2.710725502780482,2.324485009134921,3.1353380411100127,1,TRUE
1234,corrected_richness,2.4839674012861095,2.1136170440373614,2.8944710645361087,1,TRUE
1235,corrected_richness,2.566870331888081,2.1613345591099113,2.9433859314691153,1,TRUE
1236,corrected_richness,2.601302660201167,2.233158500562261,2.9672238485996205,1,TRUE
1237,corrected_richness,2.6879645627104303,2.3041118578239677,3.0432596141499646,1,TRUE
1238,corrected_richness,2.796039827742956,2.406051213201328,3.1590305339461833,1,TRUE
1239,corrected_richness,2.933477021055947,2.5929349509009096,3.296503937316463,1,TRUE
1240,corrected_richness,2.883194067484145,2.5781083853404865,3.2188199775167896,1,TRUE
1241,corrected_richness,2.912312736564093,2.588704332042534,3.2804118555976913,1,TRUE
1242,corrected_richness,2.847619608907371,2.5258947585106024,3.1879203858382645,1,TRUE
1243,corrected_richness,2.89736746610823,2.5514401515394436,3.2383857946325034,1,TRUE
1244,corrected_richness,2.9332125689146165,2.570380246561447,3.2904571080819895,1,TRUE
1245,corrected_richness,3.0040677787656596,2.6550120070712193,3.383966898447665,1,TRUE
1246,corrected_richness,3.1007361485142186,2.733297125441455,3.5126102015291325,1,TRUE
1247,corrected_richness,3.15010238751921,2.780268359239696,3.5955302911587608,1,TRUE
1248,corrected_richness,3.2635309515586433,2.909995510342496,3.684185878195139,1,TRUE
1249,corrected_richness,3.387697768290917,2.9922241286732296,3.8117908944602306,1,TRUE
1268,corrected_richness,4.723007348640219,4.209610890412154,5.196490752909637,1,TRUE
1269,corrected_richness,4.335517572711457,3.8110733525709324,4.794990648567971,1,TRUE
1270,corrected_richness,4.7242308731645135,4.170413091014965,5.211353131877695,1,TRUE
1271,corrected_richness,4.261561221145892,3.741193917391513,4.736300968386183,1,TRUE
1272,corrected_richness,3.7402910070570186,3.3204812473257195,4.176329851024429,1,TRUE
1273,corrected_richness,3.7390122362320266,3.3276640989197057,4.191655697539178,1,TRUE
1274,corrected_richness,3.4400970589078845,3.0252241695269277,3.8661845842734417,1,TRUE
1275,corrected_richness,3.455117663558013,3.028867694401296,3.8763757674311847,1,TRUE
1276,corrected_richness,3.2660507405087804,2.835324146374393,3.672233291116943,1,TRUE
