grid_cell,block_label,mean_local_sorensen
1496,2000-2004,0.08954199475842904
1497,2000-2004,0.10197366218798169
1498,2000-2004,0.08128369591579909
1499,2000-2004,0.08213559754164237
1500,2000-2004,0.09339255098091727
1502,2000-2004,0.1138745214795573
1518,2000-2004,0.09757593542453184
1520,2000-2004,0.09931080817074117
1521,2000-2004,0.09628822498640043
1522,2000-2004,0.10630508827746539
1523,2000-2004,0.11451877977625305
1528,2000-2004,0.1394903611584732
1529,2000-2004,0.14489620877994952
1533,2000-2004,0.12652354398883983
1535,2000-2004,0.14318511725442068
1536,2000-2004,0.13092280758070937
1537,2000-2004,0.12351239672376597
1538,2000-2004,0.1307126352626919
1539,2000-2004,0.18947502038804548
1540,2000-2004,0.191077207496827
1542,2000-2004,0.1662228939094468
1549,2000-2004,0.10869607613204352
1550,2000-2004,0.09894207454656966
1551,2000-2004,0.08490597572846065
1552,2000-2004,0.0969645236121212
1553,2000-2004,0.0995894120653585
1554,2000-2004,0.10494213564871266
1555,2000-2004,0.15602311045822614
1556,2000-2004,0.1650484912522355
1557,2000-2004,0.15141873816707999
1558,2000-2004,0.20795377558431577
1559,2000-2004,0.207908260453094
1560,2000-2004,0.13330429632685492
1561,2000-2004,0.12279865140224273
1562,2000-2004,0.10386946151303328
1563,2000-2004,0.0994776821848474
1564,2000-2004,0.09893997817254961
1565,2000-2004,0.0929243322851046
1566,2000-2004,0.10692002867555911
1567,2000-2004,0.08962525083127994
1568,2000-2004,0.07910865931665638
1569,2000-2004,0.08634186787459612
1570,2000-2004,0.09199113729081053
1571,2000-2004,0.10841559275532918
1586,2000-2004,0.09254324686895946
1587,2000-2004,0.08894836120397645
1588,2000-2004,0.08944630233822709
1589,2000-2004,0.08839459068191559
1590,2000-2004,0.09941351717090051
1591,2000-2004,0.13442609241779302
1592,2000-2004,0.20582280231564812
1593,2000-2004,0.18547785395136704
1594,2000-2004,0.16439151049143555
1597,2000-2004,0.1259498683585233
1599,2000-2004,0.12243561302289027
1602,2000-2004,0.1513941329647285
1608,2000-2004,0.13447959644541008
1609,2000-2004,0.10573950067148909
1610,2000-2004,0.10855891590695219
1611,2000-2004,0.11135753646372024
1612,2000-2004,0.1250268999395941
1613,2000-2004,0.13989846055532307
1614,2000-2004,0.14896343311458665
1616,2000-2004,0.1519672964690672
1617,2000-2004,0.1375277347886821
1618,2000-2004,0.13543347580621465
1619,2000-2004,0.11330140909196851
1620,2000-2004,0.10657435156310857
1621,2000-2004,0.09881514551671759
1622,2000-2004,0.08990119722863134
1623,2000-2004,0.09525552184128275
1624,2000-2004,0.10439998208747188
1625,2000-2004,0.1525903712792016
1626,2000-2004,0.18581305665375175
1627,2000-2004,0.14298897959339205
1628,2000-2004,0.16759083860217402
1629,2000-2004,0.13200412856366228
1630,2000-2004,0.11746707876266496
1631,2000-2004,0.11016585565980083
1632,2000-2004,0.12919365582090517
1633,2000-2004,0.1181220489398378
1634,2000-2004,0.10275104723072974
1635,2000-2004,0.0937265700563984
1636,2000-2004,0.10366297878352716
1637,2000-2004,0.09122652118822659
1639,2000-2004,0.0771514162182758
1640,2000-2004,0.06791101098057385
1641,2000-2004,0.0653261828097099
1642,2000-2004,0.06806420784827918
1658,2000-2004,0.149122505031901
1659,2000-2004,0.08653424767991702
1660,2000-2004,0.11242038019313329
1661,2000-2004,0.10887407923409372
1662,2000-2004,0.12115945787211332
1666,2000-2004,0.1060895797021082
1669,2000-2004,0.10908768945004307
1672,2000-2004,0.10732458637600087
1674,2000-2004,0.1099000960238457
1675,2000-2004,0.10489261991225164
1676,2000-2004,0.11712170763714558
1678,2000-2004,0.12226873756117027
1679,2000-2004,0.1121866018691242
1680,2000-2004,0.15602787817673955
1681,2000-2004,0.1938163267494578
1684,2000-2004,0.16930835417974105
1685,2000-2004,0.12839371533936234
1686,2000-2004,0.20385234097993626
1687,2000-2004,0.18412908868851124
1688,2000-2004,0.19821855109950692
1689,2000-2004,0.1741217956941222
1691,2000-2004,0.15401423086587748
1692,2000-2004,0.12904490848061087
1693,2000-2004,0.09857847882098314
1694,2000-2004,0.09163349699111105
1695,2000-2004,0.11206999301523432
1696,2000-2004,0.11937273040061804
1697,2000-2004,0.10961341654578827
1698,2000-2004,0.11353270186425349
1699,2000-2004,0.12794163695198998
1700,2000-2004,0.13923451667495695
1701,2000-2004,0.15901995801217256
1702,2000-2004,0.16575855793808564
1703,2000-2004,0.15741512245826253
1704,2000-2004,0.15826840274514667
1705,2000-2004,0.11383948280967228
1706,2000-2004,0.14556906314208312
1707,2000-2004,0.08405055775840908
1708,2000-2004,0.09740041499885117
1710,2000-2004,0.10233067082254624
1711,2000-2004,0.10313027791230692
1712,2000-2004,0.10386301268592699
1731,2000-2004,0.08340620799507771
1732,2000-2004,0.10587844068089107
1733,2000-2004,0.0884099482360259
1734,2000-2004,0.10324919794114712
1737,2000-2004,0.13445272272734982
1738,2000-2004,0.14485733055967182
1739,2000-2004,0.09376813865995615
1743,2000-2004,0.10258167516399538
1748,2000-2004,0.07948770601175359
1749,2000-2004,0.0810016475752954
1753,2000-2004,0.08531850353590686
