species,n_grid_year_detections,n_blocks_detected,n_grids_detected,first_year,last_year
Oriolus mellianus,18,4,5,2008,2022
Pitta nipalensis,18,3,4,2013,2023
Pycnonotus taivanus,18,3,8,2004,2024
Arborophila rufipectus,17,4,7,2005,2024
Branta leucopsis,17,2,13,2015,2024
Garrulax owstoni,17,3,14,2012,2024
Heterophasia auricularis,17,2,5,2016,2024
Hierococcyx varius,17,2,17,2018,2024
Liocichla phoenicea,17,3,6,2013,2024
Luscinia ruficeps,17,4,4,2000,2019
Napothera crispifrons,17,5,2,2001,2023
Parayuhina bakeri,17,2,7,2019,2024
Psittacula krameri,17,3,8,2006,2024
Sitta formosa,17,3,5,2013,2024
Sterna aurantia,17,4,2,2009,2023
Tetrao urogalloides,17,3,7,2013,2024
Treron phayrei,17,4,5,2006,2024
Anthreptes malacensis,16,3,5,2012,2024
Coturnicops exquisitus,16,5,11,2004,2024
Curruca althaea,16,2,10,2012,2024
Cyornis rubeculoides,16,3,9,2007,2024
Periparus rufonuchalis,16,3,9,2011,2024
Phalacrocorax pelagicus,16,3,5,2012,2024
Schoeniparus castaneceps,16,2,7,2019,2024
Trochalopteron morrisonianum,16,2,4,2016,2024
Alcippe morrisonia,15,2,5,2016,2024
Amandava amandava,15,4,9,2009,2024
Chrysococcyx xanthorhynchus,15,3,4,2011,2023
Lagopus muta,15,2,5,2015,2024
Liocichla steerii,15,2,4,2016,2024
Loxia leucoptera,15,3,8,2012,2024
Lymnocryptes minimus,15,3,11,2010,2024
Myophonus insularis,15,2,4,2016,2024
Pomatorhinus ferruginosus,15,3,4,2013,2024
Psittacula alexandri,15,3,6,2008,2023
Pycnonotus leucogenys,15,3,6,2013,2024
Pyrrhula owstoni,15,2,10,2017,2024
Sinosuthora przewalskii,15,4,4,2007,2024
Tarsiger johnstoniae,15,2,4,2016,2024
Urocissa caerulea,15,2,5,2016,2024
Yuhina brunneiceps,15,2,4,2016,2024
Zapornia bicolor,15,2,10,2019,2024
Zapornia paykullii,15,2,14,2016,2024
Acrocephalus schoenobaenus,14,3,6,2005,2024
Calliope obscura,14,3,8,2013,2024
Carpodacus formosanus,14,2,4,2016,2024
Cyornis poliogenys,14,4,7,2005,2022
Grammatoptila striata,14,2,6,2019,2024
Locustella ochotensis,14,3,11,2010,2023
Lophura swinhoii,14,2,5,2016,2024
Luscinia obscura,14,5,6,2002,2023
Melopsittacus undulatus,14,2,8,2016,2023
Onychoprion aleuticus,14,2,13,2018,2024
Oriolus xanthornus,14,3,4,2014,2024
Pnoepyga immaculata,14,3,4,2013,2024
Regulus goodfellowi,14,3,4,2011,2024
Seicercus burkii,14,5,8,2001,2023
Spelaeornis kinneari,14,3,5,2002,2024
Synoicus chinensis,14,3,9,2014,2024
Aplonis panayensis,13,2,11,2016,2024
Batrachostomus hodgsoni,13,2,5,2015,2023
Buceros bicornis,13,2,5,2015,2024
Gracupica contra,13,4,5,2003,2023
Harpactes wardi,13,4,5,2005,2023
Helopsaltes ochotensis,13,1,9,2022,2024
Lophotriorchis kienerii,13,2,8,2018,2024
Microhierax caerulescens,13,2,2,2015,2023
Niltava vivida,13,2,4,2016,2024
Pavo cristatus,13,4,5,2007,2023
Pavo muticus,13,2,11,2015,2024
Perdix perdix,13,2,9,2018,2024
Pitta sordida,13,4,5,2006,2023
Porzana cinerea,13,2,7,2016,2023
Psittacula roseata,13,2,4,2015,2023
Psittiparus ruficeps,13,3,2,2013,2024
Tyto javanica,13,1,8,2021,2024
Zoothera monticola,13,3,8,2005,2024
Actinodura morrisoniana,12,2,4,2016,2024
Actinodura nipalensis,12,3,6,2010,2024
Branta canadensis,12,2,7,2017,2024
Dendrocopos macei,12,2,3,2018,2024
Garrulax taewanus,12,2,7,2017,2024
Haliaeetus pelagicus,12,2,3,2015,2024
Harpactes oreskios,12,3,2,2005,2023
Leioptila annectens,12,1,4,2020,2024
Mulleripicus pulverulentus,12,2,3,2016,2024
Phalaropus fulicarius,12,3,10,2014,2024
Schoeniparus variegaticeps,12,2,5,2017,2024
Terpsiphone affinis,12,2,10,2016,2024
Acridotheres javanicus,11,2,10,2016,2024
Acrocephalus melanopogon,11,2,7,2017,2024
Arborophila atrogularis,11,3,4,2013,2023
Cinclidium frontale,11,3,3,2004,2024
Cyanoderma pyrrhops,11,1,8,2023,2024
Dicaeum agile,11,4,3,2002,2023
Erythrogenys erythrocnemis,11,2,4,2016,2024
Fulvetta formosana,11,2,4,2016,2024
Gorsachius goisagi,11,3,11,2011,2024
Haliaeetus leucogaster,11,3,7,2009,2024
Lagopus lagopus,11,1,6,2021,2024
Lophophorus sclateri,11,4,8,2003,2024
Machlolophus holsti,11,2,4,2015,2024
Pitta oatesi,11,2,4,2017,2023
Pnoepyga formosana,11,2,3,2016,2024
Rhyticeros undulatus,11,3,2,2013,2023
Rimator malacoptilus,11,3,4,2013,2023
Syrmaticus mikado,11,2,3,2017,2024
Alcippe rufogularis,10,4,3,2006,2023
Branta hutchinsii,10,2,7,2015,2024
Bulweria bulwerii,10,2,10,2015,2024
Carpodacus grandis,10,1,10,2023,2024
Nymphicus hollandicus,10,2,7,2018,2023
Oenanthe picata,10,2,8,2015,2024
Phodilus badius,10,1,5,2021,2024
Sittiparus castaneoventris,10,2,3,2016,2024
Stercorarius parasiticus,10,2,9,2017,2024
Tarsiger formosanus,10,2,5,2018,2024
Tetraogallus altaicus,10,1,6,2021,2024
Tetrax tetrax,10,2,4,2016,2024
Tragopan satyra,10,3,3,2010,2024
Acridotheres burmannicus,9,3,3,2013,2023
Alaudala heinei,9,1,9,2023,2024
Arborophila crudigularis,9,2,3,2016,2024
Brachypteryx goodfellowi,9,2,4,2017,2024
Dryocopus javensis,9,2,7,2017,2023
Erythropygia galactotes,9,3,3,2012,2023
Eudromias morinellus,9,2,3,2015,2024
Garrulax strepitans,9,3,3,2014,2024
Graminicola striatus,9,2,5,2015,2024
Histrionicus histrionicus,9,2,8,2017,2024
Leucosticte sillemi,9,3,4,2013,2023
Luscinia pectoralis,9,3,6,2011,2023
Onychoprion fuscatus,9,2,7,2018,2024
Phylloscopus trochilus,9,2,9,2019,2024
Phylloscopus xanthodryas,9,1,9,2021,2024
Saroglossa spiloptera,9,4,5,2007,2023
Saxicola insignis,9,1,9,2021,2024
Schoeniparus cinereus,9,2,2,2019,2024
Stercorarius pomarinus,9,2,7,2016,2023
Strix davidi,9,1,5,2020,2024
Carpodacus sillemi,8,1,4,2020,2024
Cercotrichas galactotes,8,2,4,2012,2024
Charadrius morinellus,8,2,2,2015,2023
Leiopicus auriceps,8,1,4,2021,2024
Locustella alishanensis,8,2,4,2017,2024
Phylloscopus sibilatrix,8,1,7,2023,2024
Pterorhinus poecilorhynchus,8,2,3,2016,2024
Trochalopteron imbricatum,8,2,3,2018,2024
Zosterops meyeni,8,2,4,2017,2024
Alcurus striatus,7,2,2,2019,2024
Arborophila mandellii,7,2,4,2019,2024
Ficedula owstoni,7,2,5,2018,2024
Hydrobates monorhis,7,2,6,2019,2024
Motacilla grandis,7,1,7,2021,2024
Porzana porzana,7,2,5,2015,2023
Pterorhinus ruficeps,7,2,2,2016,2024
Rhodopechys sanguineus,7,1,3,2021,2024
Stachyris humei,7,1,2,2021,2024
Sterna acuticauda,7,1,7,2023,2024
Tropicoperdix chloropus,7,4,3,2001,2023
Agapornis fischeri,6,3,5,2014,2023
Ampeliceps coronatus,6,1,6,2020,2024
Brachypteryx hyperythra,6,1,2,2021,2024
Chloropsis cochinchinensis,6,2,6,2018,2024
Garrulax rufogularis,6,3,2,2014,2022
Geopelia striata,6,1,4,2021,2024
Machlolophus xanthogenys,6,1,4,2023,2024
Napothera malacoptila,6,2,2,2019,2024
Oceanodroma monorhis,6,2,5,2017,2022
Pterorhinus ruficollis,6,2,3,2018,2024
Ptyonoprogne concolor,6,3,4,2006,2023
Threskiornis melanocephalus,6,2,5,2005,2024
Treron bicinctus,6,1,4,2021,2024
Treron formosae,6,2,3,2016,2024
Aceros nipalensis,5,1,2,2022,2024
Brachypodius atriceps,5,1,5,2022,2024
Dendrocitta vagabunda,5,2,4,2018,2024
Ducula aenea,5,3,3,2005,2020
Gampsorhynchus torquatus,5,2,4,2016,2023
Glaucidium passerinum,5,2,4,2019,2024
Hirundapus giganteus,5,2,2,2017,2023
Iduna pallida,5,1,5,2024,2024
Macropygia ruficeps,5,2,4,2018,2024
Pterorhinus caerulatus,5,1,2,2021,2024
Spelaeornis badeigularis,5,1,2,2021,2024
Sphenocichla humei,5,1,2,2020,2023
Turdus niveiceps,5,2,2,2017,2024
Zapornia parva,5,1,4,2021,2024
Acrocephalus sorghophilus,4,3,2,2009,2019
Anous stolidus,4,1,4,2021,2024
Anthocincla phayrei,4,1,2,2021,2023
Ardenna pacifica,4,2,4,2019,2024
Ardenna tenuirostris,4,2,4,2019,2024
Columba punicea,4,2,4,2005,2024
Dinopium javanense,4,2,3,2010,2019
Euodice malabarica,4,1,4,2024,2024
Falco rusticolus,4,1,4,2023,2024
Gavia pacifica,4,2,3,2008,2024
Halcyon coromanda,4,2,4,2017,2024
Helopsaltes pleskei,4,1,4,2023,2024
Lanius vittatus,4,1,4,2024,2024
Larus glaucescens,4,2,4,2015,2024
Leptoptilos javanicus,4,2,4,2013,2023
Locustella pleskei,4,2,4,2018,2023
Melanitta americana,4,1,4,2020,2024
Mycteria leucocephala,4,1,4,2020,2024
Polyplectron katsumatae,4,2,1,2017,2024
Psilopogon faiostrictus,4,1,3,2023,2024
Stachyridopsis ambigua,4,2,2,2017,2020
Sula leucogaster,4,2,4,2019,2024
Trochalopteron melanostigma,4,2,3,2018,2024
Ardeola grayii,3,1,3,2020,2024
Ardeola speciosa,3,1,3,2024,2024
Columba eversmanni,3,1,3,2023,2024
Cyanoderma ambiguum,3,1,3,2023,2024
Erythrogenys erythrogenys,3,1,3,2023,2024
Gyps fulvus,3,1,3,2022,2024
Hydrornis nipalensis,3,2,2,2017,2024
Macropygia tenuirostris,3,2,1,2017,2024
Merops persicus,3,1,2,2018,2019
Nisaetus cirrhatus,3,1,3,2023,2024
Nycticorax caledonicus,3,2,3,2019,2024
Otus elegans,3,2,1,2017,2024
Phaethon lepturus,3,1,3,2023,2024
Phylloscopus sibillatrix,3,3,3,2008,2023
Ploceus manyar,3,1,2,2018,2019
Pluvialis apricaria,3,1,3,2023,2024
Puffinus tenuirostris,3,2,3,2009,2019
Remiz macronyx,3,1,2,2023,2024
Saxicola rubetra,3,1,3,2023,2024
Stachyris roberti,3,1,2,2021,2023
Stercorarius longicaudus,3,2,3,2018,2024
Sula sula,3,2,3,2016,2024
Tachymarptis melba,3,3,2,2014,2023
Thalasseus sandvicensis,3,2,3,2015,2024
Treron phoenicopterus,3,3,3,2014,2024
Alcedo meninting,2,1,2,2024,2024
Anas luzonica,2,1,2,2024,2024
Brachyramphus perdix,2,2,2,2016,2024
Calidris bairdii,2,1,2,2024,2024
Calidris subruficollis,2,2,2,2016,2023
Chroicocephalus novaehollandiae,2,1,2,2021,2024
Ciconia ciconia,2,1,2,2023,2024
Ciconia episcopus,2,2,2,2011,2024
Columba janthina,2,1,2,2024,2024
Crithagra mozambica,2,2,2,2012,2020
Erythrura prasina,2,1,1,2015,2018
Estrilda melpoda,2,1,2,2024,2024
Fregata andrewsi,2,2,2,2001,2024
Gallinago hardwickii,2,2,2,2009,2024
Gavia adamsii,2,1,2,2022,2024
Glareola nordmanni,2,1,2,2024,2024
Hydrobates leucorhous,2,1,2,2023,2023
Ianthocincla bieti,2,1,2,2024,2024
Larvivora ruficeps,2,1,2,2022,2024
Lonchura oryzivora,2,2,2,2000,2024
Lyncornis macrotis,2,1,2,2016,2016
Melanitta fusca,2,1,2,2023,2024
Mirafra javanica,2,1,2,2022,2024
Neophron percnopterus,2,2,2,2001,2023
Parus xanthogenys,2,2,2,2013,2023
Pelecanus philippensis,2,1,2,2023,2024
Phaethon rubricauda,2,1,2,2024,2024
Pitta moluccensis,2,2,2,2009,2021
Psittacula himalayana,2,1,1,2013,2014
Puffinus pacificus,2,2,2,2018,2021
Saxicola jerdoni,2,1,2,2021,2021
Stachyridopsis pyrrhops,2,2,2,2013,2023
Sturnia pagodarum,2,1,2,2024,2024
Sula dactylatra,2,1,2,2021,2022
Synthliboramphus antiquus,2,2,2,2019,2024
Tetrao urogallus,2,1,1,2021,2024
Thalasseus bengalensis,2,2,2,2017,2024
Todiramphus chloris,2,2,2,2018,2024
Tringa flavipes,2,1,2,2024,2024
Turdus unicolor,2,2,2,2007,2024
Agapornis roseicollis,1,1,1,2021,2021
Anser canagicus,1,1,1,2019,2019
Ardenna carneipes,1,1,1,2019,2019
Asarcornis scutulata,1,1,1,2024,2024
Aythya affinis,1,1,1,2024,2024
Aythya collaris,1,1,1,2024,2024
Aythya valisineria,1,1,1,2024,2024
Butastur liventer,1,1,1,2006,2006
Calandrella rufescens,1,1,1,2022,2022
Calidris fuscicollis,1,1,1,2014,2014
Emberiza stewarti,1,1,1,2024,2024
Eudocimus ruber,1,1,1,2018,2018
Ficedula hypoleuca,1,1,1,2024,2024
Ficedula ruficauda,1,1,1,2024,2024
Fregata minor,1,1,1,2016,2016
Fulvetta danisi,1,1,1,2018,2018
Geokichla wardii,1,1,1,2024,2024
Gygis alba,1,1,1,2022,2022
Gypsophila annamensis,1,1,1,2024,2024
Ianthocincla rufogularis,1,1,1,2024,2024
Kurochkinegramma hypogrammicum,1,1,1,2024,2024
Lonchura maja,1,1,1,2020,2020
Loriculus vernalis,1,1,1,2024,2024
Marmaronetta angustirostris,1,1,1,2024,2024
Melanocorypha leucoptera,1,1,1,2018,2018
Monticola cinclorhyncha,1,1,1,2024,2024
Oceanites oceanicus,1,1,1,2019,2019
Pelargopsis capensis,1,1,1,2023,2023
Pernis apivorus,1,1,1,2023,2023
Phalacrocorax urile,1,1,1,2019,2019
Phylloscopus ijimae,1,1,1,2024,2024
Picus vittatus,1,1,1,2024,2024
Poicephalus senegalus,1,1,1,2019,2019
Pomatorhinus erythrogenys,1,1,1,2013,2013
Pomatorhinus schisticeps,1,1,1,2023,2023
Porzana parva,1,1,1,2018,2018
Psittacus erithacus,1,1,1,2018,2018
Pterodroma hypoleuca,1,1,1,2017,2017
Ptilinopus leclancheri,1,1,1,2024,2024
Rallina fasciata,1,1,1,2024,2024
Sarcogyps calvus,1,1,1,2018,2018
Tragopan blythii,1,1,1,2024,2024
Treron seimundi,1,1,1,2020,2020
Turdus migratorius,1,1,1,2024,2024
Turnix sylvaticus,1,1,1,2024,2024
Vanellus leucurus,1,1,1,2023,2023
