covariate,species,mean,l95,u95,sig95
(Intercept),Egretta garzetta,-0.9075537685689962,-1.9294486194113092,-0.42373337418121476,TRUE
(Intercept),Emberiza pusilla,0.13559539156584077,-1.4770301353922441,1.1079071033334966,FALSE
(Intercept),Falco tinnunculus,2.5574493264130846,1.5677608933896148,3.4680036725430297,TRUE
(Intercept),Fulica atra,0.3973715628936997,-0.24434196042841394,1.3552815027055058,FALSE
(Intercept),Gallinula chloropus,0.3913034993610223,-1.2313100072637218,1.0380322293592927,FALSE
(Intercept),Hirundo rustica,3.0319759500426766,1.9057516216212989,3.688740959587117,TRUE
(Intercept),Lanius cristatus,1.7941087016095802,0.7786802845903499,2.664175212445885,TRUE
(Intercept),Lanius schach,-2.2475473883096084,-2.714478021185088,-1.4641543583466314,TRUE
(Intercept),Milvus migrans,1.0793311279046676,0.468786422594694,1.6561999198767823,TRUE
(Intercept),Motacilla alba,4.939588727843245,3.173461392945828,6.721095434239466,TRUE
(Intercept),Motacilla cinerea,2.2588507198462913,1.4537603570516073,2.9826957405810264,TRUE
(Intercept),Nycticorax nycticorax,-0.4166853041491644,-0.993377249600724,0.3256833846023181,FALSE
(Intercept),Parus minor,0.6247441708158721,0.18926777334325906,1.0391079005104222,TRUE
(Intercept),Passer montanus,4.8270406257443135,3.7943400288368245,5.8813519867802135,TRUE
(Intercept),Phalacrocorax carbo,1.3189585386103366,0.7646179977681651,2.5327829639438733,TRUE
(Intercept),Phasianus colchicus,1.6992751850062682,1.1881254558943812,2.203108637645806,TRUE
(Intercept),Phoenicurus auroreus,1.169096019208088,0.5062795016291198,2.011741489204309,TRUE
(Intercept),Phoenicurus fuliginosus,-1.3145248568522052,-1.803926918412868,-0.5984725309021968,TRUE
(Intercept),Phylloscopus inornatus,-0.4885007664099358,-1.1806328833628088,0.19589806470781518,FALSE
(Intercept),Phylloscopus proregulus,0.21122922469368616,-0.48643231337664683,0.8853501032528647,FALSE
(Intercept),Pica serica,0.44508019100713214,-0.418878376166149,1.080061682507536,FALSE
(Intercept),Podiceps cristatus,0.7608295816794035,0.26307864384423757,1.354235162767497,TRUE
(Intercept),Pycnonotus sinensis,-2.0384649317899806,-2.5429326104636796,-1.1239696947972404,TRUE
(Intercept),Sinosuthora webbiana,-1.7726086260222647,-2.257102176082772,-1.316210972289035,TRUE
(Intercept),Spilopelia chinensis,-1.2766758935651765,-1.812521564001063,-0.6793002146782482,TRUE
(Intercept),Spizixos semitorques,-2.835633686223696,-3.379922680560118,-2.1451446277311517,TRUE
(Intercept),Spodiopsar cineraceus,0.6858524775681549,-1.0594552688692342,2.0528759926646787,FALSE
(Intercept),Streptopelia orientalis,1.7375412926322398,1.3370341854937486,2.146451360373974,TRUE
(Intercept),Tachybaptus ruficollis,0.7302977302152728,0.0938049459370928,2.2891601769257583,TRUE
(Intercept),Tadorna ferruginea,1.1672214677640302,0.5820667550323184,1.9417630814788474,TRUE
(Intercept),Tarsiger cyanurus,0.2455195528501805,-0.2813570308461044,1.0519336591561264,FALSE
(Intercept),Tringa ochropus,1.1713660387586249,-0.5998296288243513,2.158774277307388,FALSE
(Intercept),Turdus mandarinus,-2.0104161465964974,-2.491595834818502,-1.479674550129423,TRUE
(Intercept),Upupa epops,3.154814272290235,2.2637527372552935,5.123336989362016,TRUE
(Intercept),Zosterops simplex,-2.8195464023971426,-3.519022435209216,-1.487000250851133,TRUE
bio11,Accipiter nisus,0.3482023806467547,-0.1491079900776225,0.8930434500162321,FALSE
bio11,Acridotheres cristatellus,0.374126578001738,0.057074048472278836,0.6970611242810958,TRUE
bio11,Actitis hypoleucos,0.4451488944021085,-0.030726359464670953,0.9919831959617049,FALSE
bio11,Aegithalos concinnus,-0.05026653219796667,-0.6138119234212391,0.4144210544158579,FALSE
bio11,Alcedo atthis,0.47332445527694866,0.14933260919474156,0.8296746445635903,TRUE
bio11,Anas carolinensis,0.19710886055187238,-0.1433457576713697,0.5605161961035665,FALSE
bio11,Anas platyrhynchos,0.4326911720467817,-0.03129025772899388,0.9068854664461508,FALSE
bio11,Anas zonorhyncha,0.19523836575454173,-0.18234965539479114,0.6332519865408024,FALSE
bio11,Anthus hodgsoni,-0.07612095259157592,-0.3597099075798589,0.21315836153086898,FALSE
bio11,Ardea alba,0.5552291033596528,0.15800173577934495,0.9567144015946285,TRUE
bio11,Ardea cinerea,0.580211375106306,0.2044581649093361,0.9545664855692735,TRUE
bio11,Ardeola bacchus,0.26516912667250425,-0.037351378657226604,0.556551758112739,FALSE
bio11,Bubulcus coromandus,0.29305564394614286,-0.008578023305060753,0.5989652028413129,FALSE
bio11,Buteo japonicus,0.413497635687433,-0.09282075552066976,0.9901425344859207,FALSE
bio11,Cecropis daurica,0.25724617091608415,-0.0828822706290886,0.6352012215098606,FALSE
bio11,Chloris sinica,0.19396031505643427,-0.28072912563033253,0.6009198321176116,FALSE
bio11,Chroicocephalus ridibundus,0.660987203957874,0.28217328749200665,1.071393334762544,TRUE
bio11,Columba livia,0.31389412215044715,0.010616063666067417,0.6415582908638048,TRUE
bio11,Copsychus saularis,0.29308407431062145,-0.08117300862083117,0.6744278270895485,FALSE
bio11,Corvus corone,0.23259478876121253,-0.1178427706106325,0.7133919011252989,FALSE
bio11,Corvus macrorhynchos,-0.032353673635632386,-0.27052815171949374,0.1918031967066136,FALSE
bio11,Cuculus canorus,0.09770358092646744,-0.33872568856647667,0.6313204953714837,FALSE
bio11,Cyanopica cyanus,0.0055480469274694424,-0.3078388200471115,0.32153909401609115,FALSE
