grid_cell,period_pair,metric,value_mean,value_l95,value_u95
812,2005-2009 vs 2000-2004,bray,0.040155891094512515,0.032720622865465065,0.04709174034347133
813,2005-2009 vs 2000-2004,bray,0.04197407825648922,0.03429144917786917,0.048742089854176295
845,2005-2009 vs 2000-2004,bray,0.03229795326580542,0.026767692713033298,0.03893075637585753
846,2005-2009 vs 2000-2004,bray,0.028924554119633756,0.02034828766330618,0.03826713900187121
847,2005-2009 vs 2000-2004,bray,0.0280804796925832,0.022454028745268455,0.03424654159734019
848,2005-2009 vs 2000-2004,bray,0.028616015045045656,0.02321602967161381,0.03398453413090649
849,2005-2009 vs 2000-2004,bray,0.03058602701756278,0.024652039278995633,0.036370116529200774
850,2005-2009 vs 2000-2004,bray,0.03132794594257684,0.024968435965780016,0.03711213341920559
851,2005-2009 vs 2000-2004,bray,0.030647593442244957,0.025123120998185148,0.03720244000446423
854,2005-2009 vs 2000-2004,bray,0.024246703665200393,0.01949627886365888,0.028890340575636473
855,2005-2009 vs 2000-2004,bray,0.023800006762019914,0.01945805641259745,0.028506700452568427
856,2005-2009 vs 2000-2004,bray,0.023535262486386103,0.01903558451114127,0.02837358803932562
857,2005-2009 vs 2000-2004,bray,0.024687152651827915,0.019997989650308814,0.029585764502590713
858,2005-2009 vs 2000-2004,bray,0.02584231410195667,0.02116566491257512,0.030956498574375345
859,2005-2009 vs 2000-2004,bray,0.02724532994702386,0.022225476288955156,0.03180762358203745
860,2005-2009 vs 2000-2004,bray,0.02739386204927677,0.022961247414492167,0.03202787808664238
876,2005-2009 vs 2000-2004,bray,0.03634719458895931,0.028810250512144735,0.04439260133873032
877,2005-2009 vs 2000-2004,bray,0.04224797537376516,0.0339740267092305,0.05058147615519048
878,2005-2009 vs 2000-2004,bray,0.04246503834431019,0.034271945338333915,0.05112783953743796
879,2005-2009 vs 2000-2004,bray,0.04365577481490083,0.03490825255249782,0.052835182373162
881,2005-2009 vs 2000-2004,bray,0.04124594779820658,0.033820244032325364,0.049517872825295725
882,2005-2009 vs 2000-2004,bray,0.04221504366804534,0.03533732407785794,0.050295666646485354
883,2005-2009 vs 2000-2004,bray,0.03933946905140503,0.03356301545591535,0.046226410511502315
884,2005-2009 vs 2000-2004,bray,0.03590626092048722,0.027259854055673126,0.043916354214506764
885,2005-2009 vs 2000-2004,bray,0.04271612920625228,0.03574530646040937,0.05054385980770081
916,2005-2009 vs 2000-2004,bray,0.0454119730825772,0.03802094017516725,0.05393793932376758
917,2005-2009 vs 2000-2004,bray,0.045035747238207226,0.037080206647263664,0.0542118927952404
918,2005-2009 vs 2000-2004,bray,0.046363466338643376,0.037962721448139995,0.05436105914023216
919,2005-2009 vs 2000-2004,bray,0.04586390780329386,0.037785710085741574,0.053651272764581086
920,2005-2009 vs 2000-2004,bray,0.04251339004082996,0.03510073838187411,0.050846070563849044
921,2005-2009 vs 2000-2004,bray,0.02981805899941853,0.023798735826127872,0.03606991558376359
922,2005-2009 vs 2000-2004,bray,0.024341544402065277,0.019237552385652418,0.029753771222502584
923,2005-2009 vs 2000-2004,bray,0.022862760535861854,0.01887482667496259,0.02694185652981186
