mean,sd,q025,median,q975,metric,period,grid_cell
108.68456395932412,1.0654576411303862,106.53692692053978,108.70091049103983,110.7730486554437,corrected_richness,P1,788
54.63295086139803,1.5049303470268154,51.8791580760448,54.62132651881252,57.644125825891415,corrected_richness,P1,804
54.69446739529972,1.1921690417510362,52.48109457703305,54.56050635166729,57.28954868624243,corrected_richness,P1,805
57.047401630719484,1.3331018615739758,54.43615835800015,57.06386610517846,59.68979172226543,corrected_richness,P1,806
48.093716883264385,1.6227836195710004,44.98463293541157,48.15505060799391,51.41231191066605,corrected_richness,P1,807
50.70311314692208,1.6321360944894399,47.9101591789017,50.5848021779511,54.13266055875918,corrected_richness,P1,808
45.50319440137053,0.9715307865605831,43.562084250108924,45.484864746412114,47.45817363549466,corrected_richness,P1,809
49.9929314205109,1.0941208834172838,48.08827704283398,49.94631129213354,52.18327781445166,corrected_richness,P1,810
48.36234885741112,1.162660109192893,46.21295611900788,48.37211309559444,50.69676614641017,corrected_richness,P1,811
47.30785369577774,1.5343585008454637,44.34753081556082,47.33693971393305,50.304816009857085,corrected_richness,P1,812
43.56033892083928,1.4813673939363574,40.68083974580332,43.60983288287318,46.5404548957193,corrected_richness,P1,813
90.4859299973941,1.0742455394019437,88.37722836847071,90.4695326281929,92.5940432175187,corrected_richness,P1,845
97.36713543155042,1.303444011992195,94.58020481993931,97.43053804186292,99.82245555996185,corrected_richness,P1,846
92.17274085843327,1.017134014817003,90.33355963127795,92.15404551777522,94.1525242235707,corrected_richness,P1,847
84.93929736044112,1.4232280598063278,82.25205243305547,84.98192518562854,87.80033586920355,corrected_richness,P1,848
88.9169747148142,1.3086092158142726,86.47123707344572,88.90761545526684,91.63289174175598,corrected_richness,P1,849
98.37221668915892,1.2047983019865125,95.84776654875043,98.39013656383304,100.462760852462,corrected_richness,P1,850
91.74449249644293,1.3372414743526473,89.29388242359428,91.77103264106067,94.3433757069893,corrected_richness,P1,851
92.10661574637174,1.5102853330762223,88.75364802637448,92.18447480736926,94.5494820447497,corrected_richness,P1,855
92.64416597036242,1.498071311430403,89.34166795782583,92.69084823306827,95.14497196613802,corrected_richness,P1,856
98.7998466882131,1.4908285553861627,95.86087306587007,98.78841708960306,101.55005406605682,corrected_richness,P1,857
108.59587728229255,1.4433952757404593,106.01505353005345,108.63306107233126,111.36144327917424,corrected_richness,P1,858
98.53156864547772,1.593375215266691,95.42467443661789,98.52400693990613,101.80502882523903,corrected_richness,P1,859
98.38653848175505,1.3586089426654162,95.74385160884714,98.4076664192456,101.16157728501226,corrected_richness,P1,860
43.18739256857199,1.3577460262320018,40.58262896107491,43.223450823760935,46.11033619346321,corrected_richness,P1,876
40.71308533638097,1.0573652705554892,38.62506070927823,40.66831583768031,42.784484393591846,corrected_richness,P1,877
42.58257804811781,1.0134030866488795,40.60642533799572,42.56705453754641,44.56382420598657,corrected_richness,P1,878
