grid_cell,centroid_lon,centroid_lat,delta_t_mean,delta_t_extreme,delta_t_std,tmp_P1,tmp_P2,tmp_P3,tmp_P4,tmp_P5,tmx_P1,tmx_P2,tmx_P3,tmx_P4,tmx_P5
1626,110.04362230464137,39.8902051834657,0.11229166849710381,0.3003124955731149,3.4585341173252724,4.0741250295153195,4.120041708415374,4.116041702912965,4.171791707041362,4.209375037462451,10.650416769335667,10.77708345732341,10.6029167768235,10.83833341607824,11.014062608902654
1627,110.9419375887609,39.8902051834657,0.11663542305759567,0.39791663558377444,2.9367494442518685,4.161270868324209,4.217437524783114,4.167270861469055,4.267104201434025,4.305989619611258,10.882083462613323,11.055416779282194,10.837500102693834,11.175416781660171,11.366666756531533
1629,112.73856815699993,39.8902051834657,0.09924999983631988,0.4697917258366928,2.355703313612661,3.774083361821249,3.833666712162085,3.7166666966630144,3.8667500210382664,3.903125036827987,10.05750010261933,10.138333389287194,9.880000028510889,10.405000107673308,10.567708471789954
1630,113.6368834411194,39.8902051834657,0.10135415906649303,0.4759375319505743,6.758493241610403,3.8926250327106873,3.9138333732727917,3.800333361145263,3.9686666922799003,4.0045833620582325,10.289166748027007,10.42041677099963,10.120416744363805,10.6683334297811,10.830729291463893
1631,114.53519872523897,39.89020518346567,0.15514582054553694,0.5736458415786423,14.959725705897487,3.5773125354743875,3.5919792030239472,3.4955625285782546,3.7098125125591954,3.7397916897947043,9.627500085284312,9.761666750535369,9.480416782945394,10.123333420449248,10.268229259488482
1632,115.4335140093583,39.890205183465675,0.13089582542500722,0.6147916314968231,9.57490799465368,4.460166727553588,4.479500036205476,4.380416689871344,4.577666710468474,4.600729207304539,11.23375013973564,11.288750094547868,11.025416755800446,11.739166821880886,11.876041748638578
1633,116.3318292934779,39.890205183465646,0.1501979328604648,0.5646875107350446,5.310296941533033,5.472041704439713,5.512041718757246,5.463500061472102,5.621916714846156,5.642239644458944,13.104166800435632,13.196666846207034,13.014583473838865,13.588333510855833,13.715104334056377
1634,117.23014457759714,39.89020518346546,0.07664583061705343,0.3452083751559254,5.83284563121029,5.598125069277982,5.616708378354087,5.53779170277218,5.709291718550958,5.684062554433088,13.367500128348667,13.427500152091188,13.160000116874775,13.684166786819697,13.742708515375853
1635,118.12845986171706,39.89020518346571,0.1115729137090975,0.49760416941717267,5.799246540094645,5.373937540253003,5.401145889936014,5.32843754873611,5.498562551095771,5.499114628803606,12.880416781455278,12.946250124089419,12.731250111510356,13.308333517548938,13.410937622189522
1636,119.00073545077201,39.90789231187076,0.09511457560389935,0.40895836260169816,9.511457560389935,5.1317917078112565,5.123291721598555,5.059083380767454,5.230208380353481,5.222656290308805,12.505416752398013,12.526666797076661,12.261666779965164,12.850833461185298,12.925000137339035
1637,119.7804023709991,40.1006206181111,0.10755415698979043,0.42050000124300446,10.755415698979043,4.853641706559186,4.854875046034964,4.738691702072198,4.969325051728326,4.9618125332868654,11.964500102226932,12.031166812901697,11.66400013393412,12.341166770433386,12.41833345880732
1639,121.85466958923632,39.80204695682132,0.10216665206438247,0.491250008204954,6.9912345350614,4.89025005021443,4.869583390521195,4.8434167124408605,4.993916697986424,4.982083372432196,11.217500107238688,11.29166681530575,10.980000102023284,11.672500159094731,11.745833469477173
1640,122.60493927939766,39.903840186787164,0.10331248376072111,0.5344791642002136,4.276269583244707,4.729083400545642,4.694916724929742,4.647583379130811,4.817333378945477,4.815312546498413,10.894166803639383,10.946250125517448,10.670833436244477,11.32958349135394,11.454687628778629
1641,123.48726626738137,40.009069455030215,0.11647917836186572,0.5376562414962489,2.4381342270332866,4.596833364626703,4.529270868703801,4.48060420655529,4.653000034550981,4.679531295027118,10.980833461865162,10.9006251012596,10.671458432714765,11.3600001156951,11.478385523058629
1642,124.1510042904868,40.067070772951645,0.10094583440222671,0.4867499987656867,1.970448247202233,4.593966708987331,4.521516712759622,4.45988337134632,4.628250041728218,4.658687545275703,11.124500119822722,11.044500086928409,10.807833424856264,11.456333470034103,11.571250102141251
1658,74.147793195727,39.20028357467078,0.16979167475365098,0.1908333565263698,16.9791674753651,1.2354374807289181,1.2349791442664961,1.1957291556483445,1.345562488496459,1.404999987251358,4.814166685783615,4.881250007202228,4.720000037178398,5.010833356964091,5.038541703019291
1659,75.00932622398004,39.197490485790226,0.15477083158621063,0.16947915614582598,15.477083158621063,3.0378541907256777,3.0413541818348073,2.9878541771904565,3.1442708576951794,3.194375017866453,8.640416764188558,8.709166713369388,8.613750039041044,8.812500054730723,8.844270894924799
1660,75.90764150809956,39.197490485790226,0.1530312523284607,0.1457291749306009,15.303125232846071,5.341125049356682,5.353333382452061,5.299375041919606,5.45604172834428,5.500260468232833,13.417500155915818,13.512916848404956,13.36250017946586,13.59250015070041,13.610937677090988
1661,76.80595679221908,39.197490485790226,0.14974999618619478,0.12760418361673942,14.974999618619478,5.5198750435879145,5.5197917326625126,5.478458368844198,5.5965417108692534,5.669583384311409,13.73375013967355,13.874583532661198,13.559583511948585,13.8233335159719,13.931771019784113
